"Year","Week","Brand","Group","KPI","Unit","Actual Value","Notes","Entered By"
"2026","1","BE.SYAR'I","Marketing","Biaya Marketing","Rp","1060637","","kaniazaneva@gmail.com"
"2026","1","OBERBE","Marketing","Omset","Rp","2056207","","kaniazaneva@gmail.com"
"2026","1","OBERBE","Marketing","Biaya Marketing","Rp","346504","","kaniazaneva@gmail.com"
"2026","1","MUSWIM","Marketing","Biaya Marketing","Rp","184603","","kaniazaneva@gmail.com"
"2026","1","MUSWIM","Marketing","Omset","Rp","814218","","kaniazaneva@gmail.com"
"2026","1","ZANEVA","Marketing","Biaya Marketing","Rp","9529333","","kaniazaneva@gmail.com"
"2026","1","ZANEVA","Marketing","Omset","Rp","48897812","","kaniazaneva@gmail.com"
"2026","2","MUSWIM","Creative","Jangkauan Instagram","count","8546","","zanevadwib@gmail.com"
"2026","2","MUSWIM","Creative","Upload Story","count","36","","zanevadwib@gmail.com"
"2026","2","MUSWIM","Creative","Feed Upload ","count","3","","zanevadwib@gmail.com"
"2026","2","MUSWIM","Creative","Viewers Reels ","count","6.901","","zanevadwib@gmail.com"
"2026","2","OBERBE","Creative","Jangkauan Instagram","count","81855","","zanevadwib@gmail.com"
"2026","2","OBERBE","Creative","Upload Reels","count","0","","zanevadwib@gmail.com"
"2026","2","BE.SYAR'I","Creative","Jangkauan Instagram","count","184598","","zanevadwib@gmail.com"
"2026","2","BE.SYAR'I","Creative","Upload Story","count","21","","zanevadwib@gmail.com"
"2026","2","BE.SYAR'I","Creative","Konten Signature (konten viral,konten high viewers bulan sebelumnya)","count","2","","zanevadwib@gmail.com"
"2026","2","BE.SYAR'I","Creative","PHOTOSHOOT/NGONTEN","count","0","","zanevadwib@gmail.com"
"2026","2","BE.SYAR'I","Creative","Total viewer tiktok","count","3156","","zanevadwib@gmail.com"
"2026","2","BE.SYAR'I","Creative","Viewers Reels ","count","3958","","zanevadwib@gmail.com"
"2026","2","ZANEVA","Creative","PHOTOSHOOT/NGONTEN","count","1","","zanevadwib@gmail.com"
"2026","2","ZANEVA","Creative","Total viewer tiktok","count","10506","","zanevadwib@gmail.com"
"2026","2","ZANEVA","Marketing","Kerjasama Bundling Produk","count","0","","faniaans.zaneva@gmail.com"
"2026","2","ZANEVA","Marketing","Kontribusi Omset PR","Rp","0","","faniaans.zaneva@gmail.com"
"2026","2","ZANEVA","Marketing","Kerjasama Event & Komunitas","count","0","","faniaans.zaneva@gmail.com"
"2026","2","MUSWIM","Creative","Upload Reels","count","7","","zanevadwib@gmail.com"
"2026","2","ZANEVA","Marketing","KOL/Influencer aktif","count","0","","faniaans.zaneva@gmail.com"
"2026","2","ZANEVA","Creative","Follower Instagram","count","1","","zanevadwib@gmail.com"
"2026","2","ZANEVA","Creative","Upload Story","count","33","","zanevadwib@gmail.com"
"2026","2","ZANEVA","Creative","Jangkauan Instagram","count","71678","","zanevadwib@gmail.com"
"2026","2","MUSWIM","Creative","Upload Tiktok","count","7","","zanevadwib@gmail.com"
"2026","2","OBERBE","Creative","Upload Tiktok","count","0","","zanevadwib@gmail.com"
"2026","2","BE.SYAR'I","Creative","Upload Tiktok","count","6","","zanevadwib@gmail.com"
"2026","2","BE.SYAR'I","Creative","Upload Reels","count","5","","zanevadwib@gmail.com"
"2026","2","BE.SYAR'I","Creative","Feed Upload ","count","4","","zanevadwib@gmail.com"
"2026","2","OBERBE","Creative","Feed Upload ","count","2","","zanevadwib@gmail.com"
"2026","2","OBERBE","Creative","Upload Story","count","15","","zanevadwib@gmail.com"
"2026","2","ZANEVA","Creative","Upload konten affiliate","count","0","","zanevadwib@gmail.com"
"2026","2","ZANEVA","Creative","Feed Upload ","count","4","","zanevadwib@gmail.com"
"2026","2","ZANEVA","Creative","Upload Tiktok","count","7","","zanevadwib@gmail.com"
"2026","2","ZANEVA","Creative","Upload Reels","count","4","","zanevadwib@gmail.com"
"2026","2","ZANEVA","Creative","Viewers Reels ","count","6.314","","zanevadwib@gmail.com"
"2026","2","ZANEVA","","","","0","","trinda.zaneva@gmail.com"
"2026","2","ZANEVA","RnD","SKU Release","count","0","","trinda.zaneva@gmail.com"
"2026","2","BE.SYAR'I","Marketing","Omset","Rp","9143878","","kaniazaneva@gmail.com"
"2026","2","BE.SYAR'I","Marketing","Biaya Marketing","Rp","779958","","kaniazaneva@gmail.com"
"2026","2","OBERBE","Marketing","Omset","Rp","3298614","","kaniazaneva@gmail.com"
"2026","2","OBERBE","Marketing","Biaya Marketing","Rp","236965","","kaniazaneva@gmail.com"
"2026","2","MUSWIM","Marketing","Omset","Rp","4427139","","kaniazaneva@gmail.com"
"2026","2","MUSWIM","Marketing","Biaya Marketing","Rp","1264501","","kaniazaneva@gmail.com"
"2026","2","ZANEVA","Marketing","Biaya Marketing","Rp","21348247","","kaniazaneva@gmail.com"
"2026","2","ZANEVA","Marketing","Omset","Rp","145196421","","kaniazaneva@gmail.com"
"2026","3","MUSWIM","Creative","Jangkauan Instagram","count","57793","","zanevadwib@gmail.com"
"2026","3","MUSWIM","Creative","Upload Story","count","13","","zanevadwib@gmail.com"
"2026","3","MUSWIM","Creative","Feed Upload ","count","3","","zanevadwib@gmail.com"
"2026","3","MUSWIM","Creative","Viewers Reels ","count","378.181","","zanevadwib@gmail.com"
"2026","3","OBERBE","Creative","Jangkauan Instagram","count","43249","","zanevadwib@gmail.com"
"2026","3","OBERBE","Creative","Upload Reels","count","0","","zanevadwib@gmail.com"
"2026","3","BE.SYAR'I","Creative","Jangkauan Instagram","count","84508","","zanevadwib@gmail.com"
"2026","3","BE.SYAR'I","Creative","Upload Story","count","28","","zanevadwib@gmail.com"
"2026","3","BE.SYAR'I","Creative","PHOTOSHOOT/NGONTEN","count","0","","zanevadwib@gmail.com"
"2026","3","BE.SYAR'I","Creative","Viewers Reels ","count","3847","","zanevadwib@gmail.com"
"2026","3","BE.SYAR'I","Creative","Total viewer tiktok","count","5806","","zanevadwib@gmail.com"
"2026","3","ZANEVA","Creative","PHOTOSHOOT/NGONTEN","count","0","","zanevadwib@gmail.com"
"2026","3","ZANEVA","Creative","Total viewer tiktok","count","174978","","zanevadwib@gmail.com"
"2026","3","ZANEVA","Marketing","Kerjasama Bundling Produk","count","0","","faniaans.zaneva@gmail.com"
"2026","3","ZANEVA","Marketing","Kontribusi Omset PR","Rp","0","","faniaans.zaneva@gmail.com"
"2026","3","MUSWIM","Marketing","Omset","Rp","5815895","","kaniazaneva@gmail.com"
"2026","3","BE.SYAR'I","Marketing","Omset","Rp","9771438","","kaniazaneva@gmail.com"
"2026","3","OBERBE","Marketing","Omset","Rp","1477079","","kaniazaneva@gmail.com"
"2026","3","MUSWIM","Marketing","Biaya Marketing","Rp","523899","","kaniazaneva@gmail.com"
"2026","3","BE.SYAR'I","Marketing","Biaya Marketing","Rp","1509562","","kaniazaneva@gmail.com"
"2026","3","OBERBE","Marketing","Biaya Marketing","Rp","1076151","","kaniazaneva@gmail.com"
"2026","3","ZANEVA","Marketing","Kerjasama Event & Komunitas","count","0","","faniaans.zaneva@gmail.com"
"2026","3","MUSWIM","Creative","Upload Reels","count","7","","zanevadwib@gmail.com"
"2026","3","ZANEVA","Marketing","KOL/Influencer aktif","count","0","","faniaans.zaneva@gmail.com"
"2026","3","ZANEVA","Creative","Follower Instagram","count","-40","","zanevadwib@gmail.com"
"2026","3","ZANEVA","Creative","Upload Story","count","33","","zanevadwib@gmail.com"
"2026","3","ZANEVA","Creative","Jangkauan Instagram","count","32151","","zanevadwib@gmail.com"
"2026","3","MUSWIM","Creative","Upload Tiktok","count","7","","zanevadwib@gmail.com"
"2026","3","OBERBE","Creative","Upload Tiktok","count","0","","zanevadwib@gmail.com"
"2026","3","BE.SYAR'I","Creative","Upload Tiktok","count","10","","zanevadwib@gmail.com"
"2026","3","BE.SYAR'I","Creative","Upload Reels","count","9","","zanevadwib@gmail.com"
"2026","3","BE.SYAR'I","Creative","Feed Upload ","count","2","","zanevadwib@gmail.com"
"2026","3","OBERBE","Creative","Feed Upload ","count","2","","zanevadwib@gmail.com"
"2026","3","OBERBE","Creative","Upload Story","count","15","","zanevadwib@gmail.com"
"2026","3","ZANEVA","Creative","Feed Upload ","count","6","","zanevadwib@gmail.com"
"2026","3","ZANEVA","Creative","Upload Tiktok","count","9","","zanevadwib@gmail.com"
"2026","3","ZANEVA","Creative","Upload Reels","count","4","","zanevadwib@gmail.com"
"2026","3","ZANEVA","Creative","Viewers Reels ","count","3.719","","zanevadwib@gmail.com"
"2026","3","ZANEVA","","","","93","","trinda.zaneva@gmail.com"
"2026","3","ZANEVA","RnD","SKU Release","count","16","","trinda.zaneva@gmail.com"
"2026","3","ZANEVA","Marketing","Omset","Rp","139475509","","kaniazaneva@gmail.com"
"2026","3","ZANEVA","Marketing","Biaya Marketing","Rp","19220402","","kaniazaneva@gmail.com"
"2026","4","MUSWIM","Creative","Jangkauan Instagram","count","146185","","zanevadwib@gmail.com"
"2026","4","MUSWIM","Creative","Upload Story","count","30","","zanevadwib@gmail.com"
"2026","4","MUSWIM","Creative","Feed Upload ","count","4","","zanevadwib@gmail.com"
"2026","4","MUSWIM","Creative","Viewers Reels ","count","61.751","","zanevadwib@gmail.com"
"2026","4","OBERBE","Creative","Jangkauan Instagram","count","138692","","zanevadwib@gmail.com"
"2026","4","OBERBE","Creative","Viewers Reels ","count","3289","","zanevadwib@gmail.com"
"2026","4","OBERBE","Creative","Upload Reels","count","1","","zanevadwib@gmail.com"
"2026","4","BE.SYAR'I","Creative","Jangkauan Instagram","count","202350","","zanevadwib@gmail.com"
"2026","4","BE.SYAR'I","Creative","Upload Story","count","33","","zanevadwib@gmail.com"
"2026","4","BE.SYAR'I","Creative","PHOTOSHOOT/NGONTEN","count","0","","zanevadwib@gmail.com"
"2026","4","BE.SYAR'I","Creative","Total viewer tiktok","count","11745","","zanevadwib@gmail.com"
"2026","4","BE.SYAR'I","Creative","Viewers Reels ","count","9004","","zanevadwib@gmail.com"
"2026","4","ZANEVA","Creative","PHOTOSHOOT/NGONTEN","count","1","","zanevadwib@gmail.com"
"2026","4","ZANEVA","Creative","Total viewer tiktok","count","328717","","zanevadwib@gmail.com"
"2026","4","ZANEVA","Marketing","Kerjasama Bundling Produk","count","0","","faniaans.zaneva@gmail.com"
"2026","4","ZANEVA","Marketing","Kontribusi Omset PR","Rp","0","","faniaans.zaneva@gmail.com"
"2026","4","MUSWIM","Marketing","Omset","Rp","1842047","","kaniazaneva@gmail.com"
"2026","4","BE.SYAR'I","Marketing","Omset","Rp","7862071","","kaniazaneva@gmail.com"
"2026","4","OBERBE","Marketing","Omset","Rp","2147231","","kaniazaneva@gmail.com"
"2026","4","MUSWIM","Marketing","Biaya Marketing","Rp","229237","","kaniazaneva@gmail.com"
"2026","4","BE.SYAR'I","Marketing","Biaya Marketing","Rp","1316548","","kaniazaneva@gmail.com"
"2026","4","OBERBE","Marketing","Biaya Marketing","Rp","158932","","kaniazaneva@gmail.com"
"2026","4","ZANEVA","Marketing","Kerjasama Event & Komunitas","count","0","","faniaans.zaneva@gmail.com"
"2026","4","MUSWIM","Creative","Upload Reels","count","7","","zanevadwib@gmail.com"
"2026","4","ZANEVA","Marketing","KOL/Influencer aktif","count","4","Baru mulai kirim free product printing (spesial launching)","faniaans.zaneva@gmail.com"
"2026","4","ZANEVA","Creative","Follower Instagram","count","13","","zanevadwib@gmail.com"
"2026","4","ZANEVA","Creative","Upload Story","count","36","","zanevadwib@gmail.com"
"2026","4","ZANEVA","Creative","Jangkauan Instagram","count","129218","","zanevadwib@gmail.com"
"2026","4","MUSWIM","Creative","Upload Tiktok","count","10","","zanevadwib@gmail.com"
"2026","4","OBERBE","Creative","Upload Tiktok","count","4","","zanevadwib@gmail.com"
"2026","4","BE.SYAR'I","Creative","Upload Tiktok","count","17","","zanevadwib@gmail.com"
"2026","4","BE.SYAR'I","Creative","Upload Reels","count","17","","zanevadwib@gmail.com"
"2026","4","BE.SYAR'I","Creative","Feed Upload ","count","2","","zanevadwib@gmail.com"
"2026","4","OBERBE","Creative","Feed Upload ","count","1","","zanevadwib@gmail.com"
"2026","4","OBERBE","Creative","Upload Story","count","24","","zanevadwib@gmail.com"
"2026","4","ZANEVA","Creative","Feed Upload ","count","4","","zanevadwib@gmail.com"
"2026","4","ZANEVA","Creative","Upload Tiktok","count","9","","zanevadwib@gmail.com"
"2026","4","ZANEVA","Creative","Upload Reels","count","4","","zanevadwib@gmail.com"
"2026","4","ZANEVA","Creative","Viewers Reels ","count","2.622","","zanevadwib@gmail.com"
"2026","4","ZANEVA","","","","0","","trinda.zaneva@gmail.com"
"2026","4","ZANEVA","RnD","SKU Release","count","0","","trinda.zaneva@gmail.com"
"2026","4","ZANEVA","Marketing","Omset","Rp","122463024","","kaniazaneva@gmail.com"
"2026","4","ZANEVA","Marketing","Biaya Marketing","Rp","21233166","","kaniazaneva@gmail.com"
"2026","5","MUSWIM","Creative","Jangkauan Instagram","count","82691","","zanevadwib@gmail.com"
"2026","5","MUSWIM","Creative","Upload Story","count","29","","zanevadwib@gmail.com"
"2026","5","MUSWIM","Creative","Feed Upload ","count","3","","zanevadwib@gmail.com"
"2026","5","MUSWIM","Creative","Viewers Reels ","count","9.733","","zanevadwib@gmail.com"
"2026","5","OBERBE","Creative","Jangkauan Instagram","count","76286","","zanevadwib@gmail.com"
"2026","5","OBERBE","Creative","Viewers Reels ","count","0","","zanevadwib@gmail.com"
"2026","5","BE.SYAR'I","Creative","Jangkauan Instagram","count","197520","","zanevadwib@gmail.com"
"2026","5","BE.SYAR'I","Creative","Upload Story","count","21","","zanevadwib@gmail.com"
"2026","5","BE.SYAR'I","Creative","Feed Upload ","count","3","","zanevadwib@gmail.com"
"2026","5","BE.SYAR'I","Creative","Upload Reels","count","6","","zanevadwib@gmail.com"
"2026","5","BE.SYAR'I","Creative","Viewers Reels ","count","3806","","zanevadwib@gmail.com"
"2026","5","BE.SYAR'I","Creative","Upload Tiktok","count","6","","zanevadwib@gmail.com"
"2026","5","BE.SYAR'I","Creative","Total viewer tiktok","count","4180","","zanevadwib@gmail.com"
"2026","5","BE.SYAR'I","Creative","PHOTOSHOOT/NGONTEN","count","0","","zanevadwib@gmail.com"
"2026","5","ZANEVA","Creative","PHOTOSHOOT/NGONTEN","count","0","","zanevadwib@gmail.com"
"2026","5","ZANEVA","Creative","Total viewer tiktok","count","1489","","zanevadwib@gmail.com"
"2026","5","ZANEVA","Marketing","Kerjasama Bundling Produk","count","1","","faniaans.zaneva@gmail.com"
"2026","5","ZANEVA","Marketing","Kontribusi Omset PR","Rp","1030000","","faniaans.zaneva@gmail.com"
"2026","5","MUSWIM","Marketing","Omset","Rp","2229047","","kaniazaneva@gmail.com"
"2026","5","BE.SYAR'I","Marketing","Omset","Rp","9670188","","kaniazaneva@gmail.com"
"2026","5","OBERBE","Marketing","Omset","Rp","3354333","","kaniazaneva@gmail.com"
"2026","5","ZANEVA","Marketing","Omset","Rp","119573874","","kaniazaneva@gmail.com"
"2026","5","MUSWIM","Marketing","Biaya Marketing","Rp","192559","","kaniazaneva@gmail.com"
"2026","5","BE.SYAR'I","Marketing","Biaya Marketing","Rp","1401822","","kaniazaneva@gmail.com"
"2026","5","OBERBE","Marketing","Biaya Marketing","Rp","622998","","kaniazaneva@gmail.com"
"2026","5","ZANEVA","Marketing","Biaya Marketing","Rp","19683345","","kaniazaneva@gmail.com"
"2026","5","ZANEVA","Marketing","Kerjasama Event & Komunitas","count","1","Rock with Army","faniaans.zaneva@gmail.com"
"2026","5","MUSWIM","Creative","Upload Reels","count","7","","zanevadwib@gmail.com"
"2026","5","ZANEVA","Marketing","KOL/Influencer aktif","count","2","","faniaans.zaneva@gmail.com"
"2026","5","ZANEVA","Creative","Feed Upload ","count","3","","zanevadwib@gmail.com"
"2026","5","ZANEVA","Creative","Follower Instagram","count","-30","","zanevadwib@gmail.com"
"2026","5","ZANEVA","Creative","Upload Story","count","33","","zanevadwib@gmail.com"
"2026","5","ZANEVA","Creative","Jangkauan Instagram","count","199011","","zanevadwib@gmail.com"
"2026","5","OBERBE","Creative","Feed Upload ","count","5","","zanevadwib@gmail.com"
"2026","5","OBERBE","Creative","Upload Story","count","9","","zanevadwib@gmail.com"
"2026","5","ZANEVA","Creative","Upload Tiktok","count","6","","zanevadwib@gmail.com"
"2026","5","ZANEVA","Creative","Upload Reels","count","5","","zanevadwib@gmail.com"
"2026","5","ZANEVA","Creative","Viewers Reels ","count","6922","","zanevadwib@gmail.com"
"2026","5","ZANEVA","","","","0","","trinda.zaneva@gmail.com"
"2026","5","ZANEVA","RnD","SKU Release","count","0","","trinda.zaneva@gmail.com"
"2026","6","MUSWIM","Creative","Jangkauan Instagram","count","47018","","zanevadwib@gmail.com"
"2026","6","MUSWIM","Creative","Upload Story","count","27","","zanevadwib@gmail.com"
"2026","6","MUSWIM","Creative","Feed Upload ","count","3","","zanevadwib@gmail.com"
"2026","6","MUSWIM","Creative","Viewers Reels ","count","9.329","","zanevadwib@gmail.com"
"2026","6","OBERBE","Creative","Feed Upload ","count","1","","zanevadwib@gmail.com"
"2026","6","OBERBE","Creative","Jangkauan Instagram","count","3335","","zanevadwib@gmail.com"
"2026","6","OBERBE","Creative","Upload Story","count","16","","zanevadwib@gmail.com"
"2026","6","OBERBE","Creative","Viewers Reels ","count","1012","","zanevadwib@gmail.com"
"2026","6","BE.SYAR'I","Creative","Jangkauan Instagram","count","200908","","zanevadwib@gmail.com"
"2026","6","BE.SYAR'I","Creative","Upload Story","count","18","","zanevadwib@gmail.com"
"2026","6","BE.SYAR'I","Creative","Konten Signature (konten viral,konten high viewers bulan sebelumnya)","count","2","","zanevadwib@gmail.com"
"2026","6","BE.SYAR'I","Creative","Viewers Reels ","count","3327","","zanevadwib@gmail.com"
"2026","6","BE.SYAR'I","Creative","Upload Reels","count","5","","zanevadwib@gmail.com"
"2026","6","BE.SYAR'I","Creative","Feed Upload ","count","1","","zanevadwib@gmail.com"
"2026","6","BE.SYAR'I","Creative","Upload Tiktok","count","3","","zanevadwib@gmail.com"
"2026","6","BE.SYAR'I","Creative","Total viewer tiktok","count","2457","","zanevadwib@gmail.com"
"2026","6","BE.SYAR'I","Creative","PHOTOSHOOT/NGONTEN","count","1","","zanevadwib@gmail.com"
"2026","6","ZANEVA","Creative","Konten Signature (konten viral,konten high viewers bulan sebelumnya)","count","1","","zanevadwib@gmail.com"
"2026","6","ZANEVA","Creative","PHOTOSHOOT/NGONTEN","count","1","","zanevadwib@gmail.com"
"2026","6","ZANEVA","Creative","Total viewer tiktok","count","1500","","zanevadwib@gmail.com"
"2026","6","ZANEVA","Marketing","Kerjasama Bundling Produk","count","1","","faniaans.zaneva@gmail.com"
"2026","6","ZANEVA","Marketing","Kontribusi Omset PR","Rp","3150000","","faniaans.zaneva@gmail.com"
"2026","6","MUSWIM","Marketing","Omset","Rp","3536811","","kaniazaneva@gmail.com"
"2026","6","BE.SYAR'I","Marketing","Omset","Rp","12266556","","kaniazaneva@gmail.com"
"2026","6","OBERBE","Marketing","Omset","Rp","2909218","","kaniazaneva@gmail.com"
"2026","6","ZANEVA","Marketing","Omset","Rp","112308169","","kaniazaneva@gmail.com"
"2026","6","MUSWIM","Marketing","Biaya Marketing","Rp","333000","","kaniazaneva@gmail.com"
"2026","6","BE.SYAR'I","Marketing","Biaya Marketing","Rp","1545836","","kaniazaneva@gmail.com"
"2026","6","OBERBE","Marketing","Biaya Marketing","Rp","349753","","kaniazaneva@gmail.com"
"2026","6","ZANEVA","Marketing","Biaya Marketing","Rp","18624856","","kaniazaneva@gmail.com"
"2026","6","ZANEVA","Marketing","Kerjasama Event & Komunitas","count","3","Play pound free product, Pound Wind Up, Shaf Muslimah","faniaans.zaneva@gmail.com"
"2026","6","ZANEVA","Marketing","KOL/Influencer aktif","count","0","","faniaans.zaneva@gmail.com"
"2026","6","MUSWIM","Creative","Upload Reels","count","7","","zanevadwib@gmail.com"
"2026","6","ZANEVA","Creative","Viewers Reels ","count","37995","","zanevadwib@gmail.com"
"2026","6","ZANEVA","Creative","Upload Reels","count","5","","zanevadwib@gmail.com"
"2026","6","ZANEVA","Creative","Feed Upload ","count","1","","zanevadwib@gmail.com"
"2026","6","ZANEVA","Creative","Follower Instagram","count","-29","","zanevadwib@gmail.com"
"2026","6","ZANEVA","Creative","Upload Story","count","31","","zanevadwib@gmail.com"
"2026","6","ZANEVA","Creative","Jangkauan Instagram","count","72952","","zanevadwib@gmail.com"
"2026","7","MUSWIM","Creative","Jangkauan Instagram","count","32199","","zanevadwib@gmail.com"
"2026","7","MUSWIM","Creative","Upload Story","count","30","","zanevadwib@gmail.com"
"2026","7","MUSWIM","Creative","Feed Upload ","count","3","","zanevadwib@gmail.com"
"2026","7","MUSWIM","Creative","Upload Reels","count","6","","zanevadwib@gmail.com"
"2026","7","MUSWIM","Creative","Viewers Reels ","count","19.799","","zanevadwib@gmail.com"
"2026","7","OBERBE","Creative","Feed Upload ","count","3","","zanevadwib@gmail.com"
"2026","7","OBERBE","Creative","Jangkauan Instagram","count","4651","","zanevadwib@gmail.com"
"2026","7","OBERBE","Creative","Upload Story","count","9","","zanevadwib@gmail.com"
"2026","7","OBERBE","Creative","Upload Reels","count","2","","zanevadwib@gmail.com"
"2026","7","OBERBE","Creative","Viewers Reels ","count","312","","zanevadwib@gmail.com"
"2026","7","BE.SYAR'I","Creative","Jangkauan Instagram","count","144143","","zanevadwib@gmail.com"
"2026","7","BE.SYAR'I","Creative","Upload Story","count","9","","zanevadwib@gmail.com"
"2026","7","BE.SYAR'I","Creative","Feed Upload ","count","3","","zanevadwib@gmail.com"
"2026","7","BE.SYAR'I","Creative","Viewers Reels ","count","1561","","zanevadwib@gmail.com"
"2026","7","BE.SYAR'I","Creative","Upload Reels","count","3","","zanevadwib@gmail.com"
"2026","7","BE.SYAR'I","Creative","Upload Tiktok","count","3","","zanevadwib@gmail.com"
"2026","7","BE.SYAR'I","Creative","Total viewer tiktok","count","2457","","zanevadwib@gmail.com"
"2026","7","BE.SYAR'I","Creative","PHOTOSHOOT/NGONTEN","count","0","","zanevadwib@gmail.com"
"2026","7","ZANEVA","Creative","Feed Upload ","count","1","","zanevadwib@gmail.com"
"2026","7","ZANEVA","Creative","Konten Signature (konten viral,konten high viewers bulan sebelumnya)","count","2","","zanevadwib@gmail.com"
"2026","7","ZANEVA","Creative","PHOTOSHOOT/NGONTEN","count","1","","zanevadwib@gmail.com"
"2026","7","ZANEVA","Creative","Total viewer tiktok","count","85076","","zanevadwib@gmail.com"
"2026","7","ZANEVA","Marketing","Kerjasama Bundling Produk","count","0","","faniaans.zaneva@gmail.com"
"2026","7","ZANEVA","Marketing","Kontribusi Omset PR","Rp","0","","faniaans.zaneva@gmail.com"
"2026","7","MUSWIM","Marketing","Biaya Marketing","Rp","469000","","kaniazaneva@gmail.com"
"2026","7","BE.SYAR'I","Marketing","Biaya Marketing","Rp","1856828","","kaniazaneva@gmail.com"
"2026","7","OBERBE","Marketing","Biaya Marketing","Rp","87601","","kaniazaneva@gmail.com"
"2026","7","ZANEVA","Marketing","Biaya Marketing","Rp","10697310","","kaniazaneva@gmail.com"
"2026","7","MUSWIM","Marketing","Omset","Rp","3272740","","kaniazaneva@gmail.com"
"2026","7","BE.SYAR'I","Marketing","Omset","Rp","8987660","","kaniazaneva@gmail.com"
"2026","7","OBERBE","Marketing","Omset","Rp","3425811","","kaniazaneva@gmail.com"
"2026","7","ZANEVA","Marketing","Kerjasama Event & Komunitas","count","0","","faniaans.zaneva@gmail.com"
"2026","7","ZANEVA","Marketing","KOL/Influencer aktif","count","0","","faniaans.zaneva@gmail.com"
"2026","7","ZANEVA","Creative","Viewers Reels ","count","6496","","zanevadwib@gmail.com"
"2026","7","ZANEVA","Creative","Upload Reels","count","6","","zanevadwib@gmail.com"
"2026","7","ZANEVA","Creative","Follower Instagram","count","-31","","zanevadwib@gmail.com"
